crime_id,crime_type,date,time,day_of_week,month,hour,latitude,longitude,area,severity,suspect_age_group,suspect_gender,suspect_prior_record,weapon_used,arrest_made,risk_level
CR-00001,Assault,2023-05-11,09:07,Thursday,5,9,13.004827,80.218727,Guindy,High,46+,Male,No,None,Yes,Medium Risk
CR-00002,Drug Offense,2023-03-17,00:59,Friday,3,0,13.086936,80.194794,Anna Nagar,Medium,18-25,Male,Yes,None,Yes,Medium Risk
CR-00003,Burglary,2022-11-18,18:43,Friday,11,18,12.920545,80.100887,Tambaram,Medium,18-25,Male,No,Knife,No,Medium Risk
CR-00004,Assault,2022-07-19,10:27,Tuesday,7,10,12.981392,80.209538,Velachery,High,46+,Male,No,None,Yes,Medium Risk
CR-00005,Robbery,2022-12-04,21:43,Sunday,12,21,12.628649,80.199754,Mamallapuram,High,18-25,Male,Yes,Blunt Object,Yes,High Risk
CR-00006,Assault,2023-12-13,17:24,Wednesday,12,17,12.992156,80.257575,Adyar,High,18-25,Female,No,Blunt Object,Yes,Medium Risk
CR-00007,Vandalism,2022-08-16,19:34,Tuesday,8,19,13.071543,80.255912,Egmore,Low,46+,Male,Yes,None,Yes,Low Risk
CR-00008,Assault,2021-04-09,17:21,Friday,4,17,13.029897,80.155894,Porur,High,36-45,Male,No,Firearm,Yes,Medium Risk
CR-00009,Burglary,2023-06-11,06:31,Sunday,6,6,13.007434,80.204699,Guindy,Medium,18-25,Male,No,Blunt Object,Yes,Low Risk
CR-00010,Assault,2024-01-15,21:41,Monday,1,21,12.958923,80.14883,Chromepet,High,18-25,Female,No,Blunt Object,No,High Risk
CR-00011,Assault,2024-06-02,11:26,Sunday,6,11,12.983869,80.220088,Velachery,High,26-35,Male,Yes,None,Yes,Medium Risk
CR-00012,Cybercrime,2024-10-29,10:23,Tuesday,10,10,13.03886,80.267004,Mylapore,Medium,18-25,Male,Yes,None,Yes,Low Risk
CR-00013,Robbery,2022-10-04,13:22,Tuesday,10,13,12.999661,80.258912,Adyar,High,26-35,Female,Yes,None,No,Medium Risk
CR-00014,Theft,2023-02-06,20:04,Monday,2,20,13.011395,80.238124,Guindy,Low,36-45,Male,Yes,None,Yes,Medium Risk
CR-00015,Fraud,2022-02-07,19:18,Monday,2,19,13.004624,80.236742,Adyar,Medium,36-45,Male,Yes,None,Yes,Medium Risk
CR-00016,Theft,2021-05-24,20:56,Monday,5,20,12.925403,80.104013,Tambaram,Low,18-25,Male,No,Knife,No,Medium Risk
CR-00017,Burglary,2022-09-20,05:07,Tuesday,9,5,13.080032,80.275209,Egmore,Medium,46+,Female,Yes,None,Yes,Medium Risk
CR-00018,Burglary,2023-08-15,10:32,Tuesday,8,10,13.031159,80.233898,T. Nagar,Medium,36-45,Male,Yes,None,Yes,Medium Risk
CR-00019,Robbery,2023-11-12,10:37,Sunday,11,10,12.908284,80.227662,Sholinganallur,High,26-35,Male,No,Knife,No,Medium Risk
CR-00020,Burglary,2022-07-01,20:16,Friday,7,20,12.886734,80.225955,Sholinganallur,Medium,36-45,Female,Yes,Blunt Object,No,High Risk
CR-00021,Homicide,2024-02-14,11:20,Wednesday,2,11,13.08411,80.196107,Anna Nagar,High,26-35,Female,No,Knife,Yes,Medium Risk
CR-00022,Fraud,2023-08-20,10:41,Sunday,8,10,13.04518,80.16503,Porur,Medium,26-35,Male,No,None,No,Low Risk
CR-00023,Kidnapping,2023-06-22,15:44,Thursday,6,15,13.083678,80.204603,Anna Nagar,High,46+,Male,No,None,Yes,Medium Risk
CR-00024,Assault,2022-07-29,23:21,Friday,7,23,13.002925,80.229312,Guindy,High,26-35,Male,Yes,None,Yes,Medium Risk
